Administrative;Administrative_Duration;Informational;Informational_Duration;ProductRelated;ProductRelated_Duration;BounceRates;ExitRates;PageValues;SpecialDay;Month;OperatingSystems;Browser;Region;TrafficType;VisitorType;Weekend;Revenue
0;0;0;0;10;627.5;0.02;0.05;0;0;Feb;3;3;1;4;Returning_Visitor;TRUE;FALSE
1;0;0;0;0;0;0.2;0.2;0;0;Feb;1;2;1;5;Returning_Visitor;TRUE;FALSE
0;0;0;0;13;3.349.666.667;0;0.007692308;0;0;Feb;1;1;1;4;Returning_Visitor;TRUE;FALSE
0;0;0;0;8;1.361.666.667;0;0.008333333;0;1;Feb;2;2;5;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Feb;2;2;4;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;3;78;0;0.066666667;0;0;Feb;1;2;6;6;Returning_Visitor;TRUE;FALSE
0;0;0;0;8;388;0.025;0.05625;0;0;Feb;3;2;1;4;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Feb;1;1;3;4;Returning_Visitor;TRUE;FALSE
0;0;0;0;2;29;0;0.1;0;1;Feb;2;4;4;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;14;706.5;0;0.007142857;0;0;Feb;2;2;5;4;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;1;Feb;1;1;1;3;Returning_Visitor;TRUE;FALSE
0;0;0;0;7;208;0;0.028571429;0;0;Feb;4;1;1;5;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0.8;Feb;2;2;2;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Feb;1;1;1;2;Returning_Visitor;TRUE;FALSE
4;61;0;0;19;607;0;0.026984127;1.753.595.893;1;Feb;1;1;7;4;Returning_Visitor;TRUE;TRUE
0;0;0;0;12;3.178.333.333;0;0.005555556;0;0;Feb;1;1;1;4;Returning_Visitor;TRUE;FALSE
0;0;0;0;2;222;0;0.1;0;0;Feb;2;6;1;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;21;6.158.831.169;0.033333333;0.04993081;0;0;Feb;3;2;2;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0;Feb;3;3;3;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;6;117.5;0;0.033333333;0;0.8;Feb;1;1;1;3;Returning_Visitor;TRUE;FALSE
2;58;2;22;31;8.291.666.667;0.03030303;0.040606061;0;0;Feb;1;1;1;1;Returning_Visitor;TRUE;FALSE
1;9.May;0;0;23;1223;0.015217391;0.012463768;0;0;Feb;1;1;1;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;20;6.654.722.222;0;0.0145;0;0.8;Feb;3;2;7;4;Returning_Visitor;TRUE;FALSE
1;0;0;0;15;487.5;0;0.019166667;0;0.8;Feb;1;1;2;4;Returning_Visitor;TRUE;FALSE
0;0;0;0;1;0;0.2;0.2;0;0.8;Feb;1;1;1;2;Returning_Visitor;TRUE;FALSE
5;41.3;0;0;24;4.469.277.778;0;0.008602151;0;1;Feb;2;2;8;1;Returning_Visitor;TRUE;FALSE
0;0;0;0;17;284.25;0;0.011764706;0;0;Feb;3;2;6;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;8;260;0.008333333;0.025;0;0.8;Feb;3;2;1;3;Returning_Visitor;TRUE;FALSE
10;2.937.782.051;2;153;96;3.283.166.739;0.001960784;0.013509414;0;0;Mar;3;2;6;2;Returning_Visitor;TRUE;FALSE
0;0;0;0;22;3.543.333.333;0.009090909;0.057662338;0;0;Mar;1;1;7;2;Returning_Visitor;TRUE;FALSE
3;94;2;125;55;1.970.844.805;0;0.001724138;9.625.511.582;0;Mar;2;4;1;2;New_Visitor;TRUE;TRUE
1;32;0;0;50;2867;0;0.004;1.534.432.478;0;Mar;2;2;7;8;Returning_Visitor;TRUE;TRUE
0;0;0;0;5;43;0;0.04;0;0;Mar;1;1;1;9;Returning_Visitor;TRUE;FALSE
2;40;0;0;5;558.5;0;0.028571429;0;0;Mar;2;2;7;2;New_Visitor;TRUE;FALSE
4;57;0;0;7;591;0.006666667;0.033333333;0;0;Mar;1;2;6;6;Returning_Visitor;TRUE;FALSE
0;0;0;0;2;19;0;0.1;0;0;Mar;2;2;3;11;Returning_Visitor;TRUE;FALSE
2;32;0;0;50;1245.3;0.004;0.020666667;7.146.260.888;0;Mar;2;2;7;9;Returning_Visitor;TRUE;FALSE
